iter	Passed	Remaining
0	130	130704
1	210	104834
2	306	101793
3	386	96212
4	463	92189
5	557	92418
6	633	89875
7	698	86580
8	762	83959
9	831	82276
10	903	81261
11	966	79558
12	1039	78943
13	1102	77622
14	1174	77131
15	1233	75855
16	1297	75019
17	1361	74265
18	1428	73768
19	1493	73197
20	1555	72495
21	1624	72201
22	1690	71825
23	1750	71206
24	1813	70737
25	1881	70480
26	1944	70069
27	2012	69865
28	2074	69456
29	2141	69242
30	2212	69163
31	2277	68900
32	2348	68814
33	2410	68476
34	2477	68308
35	2543	68097
36	2614	68057
37	2674	67694
38	2735	67394
39	2802	67254
40	2868	67086
41	2935	66959
42	3006	66911
43	3072	66765
44	3136	66573
45	3204	66467
46	3271	66329
47	3331	66084
48	3404	66072
49	3467	65874
50	3532	65725
51	3602	65669
52	3667	65536
53	3736	65466
54	3807	65421
55	3879	65400
56	3943	65238
57	4012	65169
58	4082	65111
59	4140	64875
60	4257	65531
61	4332	65545
62	4402	65475
63	4473	65421
64	4541	65322
65	4619	65376
66	4689	65301
67	4757	65212
68	4828	65144
69	4891	64985
70	4961	64921
71	5031	64852
72	5109	64879
73	5194	65000
74	5284	65180
75	5366	65243
76	5455	65390
77	5530	65377
78	5601	65298
79	5672	65237
80	5734	65060
81	5796	64897
82	5860	64744
83	5926	64632
84	5988	64468
85	6045	64249
86	6102	64045
87	6167	63919
88	6236	63840
89	6310	63803
90	6377	63700
91	6438	63543
92	6505	63446
93	6567	63299
94	6637	63226
95	6702	63110
96	6773	63053
97	6840	62961
98	6913	62921
99	6990	62910
100	7055	62804
101	7121	62700
102	7189	62611
103	7254	62496
104	7323	62423
105	7383	62270
106	7459	62252
107	7527	62172
108	7600	62130
109	7666	62028
110	7740	61995
111	7812	61943
112	7888	61920
113	7956	61839
114	8026	61771
115	8098	61714
116	8168	61645
117	8235	61557
118	8295	61411
119	8368	61367
120	8438	61299
121	8510	61248
122	8570	61111
123	8631	60980
124	8704	60929
125	8770	60838
126	8835	60735
127	8908	60685
128	8967	60545
129	9037	60479
130	9109	60427
131	9178	60357
132	9242	60249
133	9309	60165
134	9372	60051
135	9439	59966
136	9500	59843
137	9571	59789
138	9636	59689
139	9705	59619
140	9773	59540
141	9840	59457
142	9911	59401
143	9983	59344
144	10046	59240
145	10104	59103
146	10172	59026
147	10249	59002
148	10324	58966
149	10391	58885
150	10457	58795
151	10522	58706
152	10592	58638
153	10659	58560
154	10728	58488
155	10798	58422
156	10869	58363
157	10936	58281
158	11003	58202
159	11076	58149
160	11141	58061
161	11209	57986
162	11279	57917
163	11347	57843
164	11417	57780
